Sales,Quantity,Discount,Profit,OrderDate,ShipDate,ShipMode,OrderID,CustomerName,Segment,ProductName,SubCategory,Category,City,States,Region,Country
8.56,2,0.0,2.4824,2014-08-27,2014-09-01,Second Class,CA-2014-143336,Zuschuss Donatelli,Consumer,Newell 341,Art,Office Supplies,San Francisco,California,West,"United States"
213.48,3,0.2,16.011,2014-08-27,2014-09-01,Second Class,CA-2014-143336,Zuschuss Donatelli,Consumer,Cisco SPA 501G IP Phone,Phones,Technology,San Francisco,California,West,"United States"
22.72,4,0.2,7.384,2014-08-27,2014-09-01,Second Class,CA-2014-143336,Zuschuss Donatelli,Consumer,"Wilson Jones Hanging View Binder, White, 1""",Binders,Office Supplies,San Francisco,California,West,"United States"
19.46,7,0.0,5.0596,2016-12-09,2016-12-13,Standard Class,CA-2016-137330,Ken Black,Corporate,Newell 318,Art,Office Supplies,Fremont,Nebraska,Central,"United States"
60.34,7,0.0,15.6884,2016-12-09,2016-12-13,Standard Class,CA-2016-137330,Ken Black,Corporate,"Acco Six-Outlet Power Strip, 4' Cord Length",Appliances,Office Supplies,Fremont,Nebraska,Central,"United States"
71.37,2,0.3,-1.0196,2017-07-16,2017-07-18,Second Class,US-2017-156909,Sandra Flanagan,Consumer,"Global Deluxe Stacking Chair, Gray",Chairs,Furniture,Philadelphia,Pennsylvania,East,"United States"
1044.63,3,0.0,240.2649,2015-09-25,2015-09-30,Standard Class,CA-2015-106320,Emily Burns,Consumer,Bretford CR4500 Series Slim Rectangular Table,Tables,Furniture,Orem,Utah,West,"United States"
11.65,2,0.2,4.2224,2016-01-16,2016-01-20,Second Class,CA-2016-121755,Eric Hoffmann,Consumer,Wilson Jones Active Use Binders,Binders,Office Supplies,Los Angeles,California,West,"United States"
90.57,3,0.0,11.7741,2016-01-16,2016-01-20,Second Class,CA-2016-121755,Eric Hoffmann,Consumer,Imation-á8GB Mini TravelDrive USB 2.0-áFlash Drive,Accessories,Technology,Los Angeles,California,West,"United States"
3083.43,7,0.5,-1665.0522,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Furniture,Philadelphia,Pennsylvania,East,"United States"
9.62,2,0.7,-7.0532,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,Avery Recycled Flexi-View Covers for Binding Systems,Binders,Office Supplies,Philadelphia,Pennsylvania,East,"United States"
124.2,3,0.2,15.525,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furnishings,Furniture,Philadelphia,Pennsylvania,East,"United States"
3.26,2,0.2,1.1016,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,Poly String Tie Envelopes,Envelopes,Office Supplies,Philadelphia,Pennsylvania,East,"United States"
86.3,6,0.2,9.7092,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Art,Office Supplies,Philadelphia,Pennsylvania,East,"United States"
6.86,6,0.7,-5.715,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Binders,Office Supplies,Philadelphia,Pennsylvania,East,"United States"
15.76,2,0.2,3.546,2015-09-17,2015-09-21,Standard Class,US-2015-150630,Tracy Blumstein,Consumer,Lumber Crayons,Art,Office Supplies,Philadelphia,Pennsylvania,East,"United States"
29.47,3,0.2,9.9468,2017-10-19,2017-10-23,Second Class,CA-2017-107727,Matt Abelman,Home Office,Easy-staple paper,Paper,Office Supplies,Houston,Texas,Central,"United States"
1097.54,7,0.2,123.4737,2016-12-08,2016-12-10,First Class,CA-2016-117590,Gene Hale,Corporate,GE 30524EE4,Phones,Technology,Richardson,Texas,Central,"United States"
190.92,5,0.6,-147.963,2016-12-08,2016-12-10,First Class,CA-2016-117590,Gene Hale,Corporate,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Furnishings,Furniture,Richardson,Texas,Central,"United States"
113.33,9,0.2,35.415,2015-12-27,2015-12-31,Standard Class,CA-2015-117415,Steve Nguyen,Home Office,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Envelopes,Office Supplies,Houston,Texas,Central,"United States"
532.4,3,0.32,-46.9764,2015-12-27,2015-12-31,Standard Class,CA-2015-117415,Steve Nguyen,Home Office,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Bookcases,Furniture,Houston,Texas,Central,"United States"
212.06,3,0.3,-15.147,2015-12-27,2015-12-31,Standard Class,CA-2015-117415,Steve Nguyen,Home Office,"Global Fabric Manager's Chair, Dark Gray",Chairs,Furniture,Houston,Texas,Central,"United States"
371.17,4,0.2,41.7564,2015-12-27,2015-12-31,Standard Class,CA-2015-117415,Steve Nguyen,Home Office,Plantronics HL10 Handset Lifter,Phones,Technology,Houston,Texas,Central,"United States"
147.17,4,0.2,16.5564,2017-09-10,2017-09-15,Standard Class,CA-2017-120999,Linda Cazamias,Corporate,Panasonic Kx-TS550,Phones,Technology,Naperville,Illinois,Central,"United States"
77.88,2,0.0,3.894,2016-07-17,2016-07-22,Standard Class,CA-2016-101343,Ruben Ausman,Corporate,"Eldon Base for stackable storage shelf, platinum",Storage,Office Supplies,Los Angeles,California,West,"United States"
95.62,2,0.2,9.5616,2017-09-19,2017-09-23,Standard Class,CA-2017-139619,Erin Smith,Corporate,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Storage,Office Supplies,Melbourne,Florida,South,"United States"
45.98,2,0.0,19.7714,2016-03-11,2016-03-13,First Class,CA-2016-118255,Odella Nelson,Corporate,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Accessories,Technology,Eagan,Minnesota,Central,"United States"
17.46,2,0.0,8.2062,2016-03-11,2016-03-13,First Class,CA-2016-118255,Odella Nelson,Corporate,Wilson Jones Leather-Like Binders with DublLock Round Rings,Binders,Office Supplies,Eagan,Minnesota,Central,"United States"
211.96,4,0.0,8.4784,2014-10-20,2014-10-25,Second Class,CA-2014-146703,Patrick O'Donnell,Consumer,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Storage,Office Supplies,Westland,Michigan,Central,"United States"
45.0,3,0.0,4.95,2016-06-20,2016-06-25,Standard Class,CA-2016-169194,Lena Hernandez,Consumer,Imation-á8gb Micro Traveldrive Usb 2.0-áFlash Drive,Accessories,Technology,Dover,Delaware,East,"United States"
21.8,2,0.0,6.104,2016-06-20,2016-06-25,Standard Class,CA-2016-169194,Lena Hernandez,Consumer,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Phones,Technology,Dover,Delaware,East,"United States"
38.22,6,0.0,17.9634,2015-04-18,2015-04-22,Standard Class,CA-2015-115742,Darren Powers,Consumer,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Binders,Office Supplies,New Albany,Indiana,Central,"United States"
75.18,6,0.0,35.3346,2015-04-18,2015-04-22,Standard Class,CA-2015-115742,Darren Powers,Consumer,Avery 485,Labels,Office Supplies,New Albany,Indiana,Central,"United States"
6.16,2,0.0,2.9568,2015-04-18,2015-04-22,Standard Class,CA-2015-115742,Darren Powers,Consumer,Longer-Life Soft White Bulbs,Furnishings,Furniture,New Albany,Indiana,Central,"United States"
89.99,1,0.0,17.0981,2015-04-18,2015-04-22,Standard Class,CA-2015-115742,Darren Powers,Consumer,"Global Leather Task Chair, Black",Chairs,Furniture,New Albany,Indiana,Central,"United States"
15.26,7,0.0,6.2566,2016-12-11,2016-12-17,Standard Class,CA-2016-105816,Janet Molinari,Corporate,Advantus Push Pins,Fasteners,Office Supplies,New York City,New York,East,"United States"
1029.95,5,0.0,298.6855,2016-12-11,2016-12-17,Standard Class,CA-2016-105816,Janet Molinari,Corporate,AT&T CL83451 4-Handset Telephone,Phones,Technology,New York City,New York,East,"United States"
208.56,6,0.0,52.14,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Home/Office Personal File Carts,Storage,Office Supplies,Troy,New York,East,"United States"
32.4,5,0.0,15.552,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Xerox 232,Paper,Office Supplies,Troy,New York,East,"United States"
319.41,5,0.1,7.098,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Novimex Turbo Task Chair,Chairs,Furniture,Troy,New York,East,"United States"
14.56,2,0.0,6.9888,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,"Array Parchment Paper, Assorted Colors",Paper,Office Supplies,Troy,New York,East,"United States"
30.0,2,0.0,3.3,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Imation-á8gb Micro Traveldrive Usb 2.0-áFlash Drive,Accessories,Technology,Troy,New York,East,"United States"
48.48,4,0.2,16.362,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Plastic Binding Combs,Binders,Office Supplies,Troy,New York,East,"United States"
1.68,1,0.0,0.84,2016-06-17,2016-06-18,First Class,CA-2016-111682,Ted Butterfield,Consumer,Prang Dustless Chalk Sticks,Art,Office Supplies,Troy,New York,East,"United States"
13.98,2,0.0,6.1512,2015-11-24,2015-11-30,Standard Class,CA-2015-135545,Kunst Miller,Consumer,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Accessories,Technology,Los Angeles,California,West,"United States"
25.82,6,0.2,9.3612,2015-11-24,2015-11-30,Standard Class,CA-2015-135545,Kunst Miller,Consumer,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Binders,Office Supplies,Los Angeles,California,West,"United States"
146.73,3,0.0,68.9631,2015-11-24,2015-11-30,Standard Class,CA-2015-135545,Kunst Miller,Consumer,Xerox 1943,Paper,Office Supplies,Los Angeles,California,West,"United States"
79.76,4,0.0,22.3328,2015-11-24,2015-11-30,Standard Class,CA-2015-135545,Kunst Miller,Consumer,Luxo Economy Swing Arm Lamp,Furnishings,Furniture,Los Angeles,California,West,"United States"
213.12,5,0.3,-15.2225,2015-04-30,2015-05-05,Standard Class,US-2015-164175,Paul Stevenson,Home Office,"Global Value Mid-Back Manager's Chair, Gray",Chairs,Furniture,Chicago,Illinois,Central,"United States"
1113.02,8,0.2,111.3024,2014-12-05,2014-12-10,Standard Class,CA-2014-106376,Brendan Sweed,Corporate,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Art,Office Supplies,Gilbert,Arizona,West,"United States"
167.97,4,0.2,62.988,2014-12-05,2014-12-10,Standard Class,CA-2014-106376,Brendan Sweed,Corporate,netTALK DUO VoIP Telephone Service,Phones,Technology,Gilbert,Arizona,West,"United States"
75.88,2,0.0,35.6636,2016-06-04,2016-06-06,First Class,CA-2016-119823,Karen Daniels,Consumer,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Paper,Office Supplies,Springfield,Virginia,South,"United States"
4.62,1,0.2,1.731,2016-09-18,2016-09-23,Standard Class,CA-2016-106075,Henry MacAllister,Consumer,Avery Binding System Hidden Tab Executive Style Index Sets,Binders,Office Supplies,New York City,New York,East,"United States"
19.05,3,0.0,8.763,2017-09-14,2017-09-17,Second Class,CA-2017-114440,Tracy Blumstein,Consumer,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Paper,Office Supplies,Jackson,Michigan,Central,"United States"
831.94,8,0.2,-114.3912,2015-04-26,2015-05-02,Standard Class,US-2015-134026,Joel Eaton,Consumer,High-Back Leather Manager's Chair,Chairs,Furniture,Memphis,Tennessee,South,"United States"
97.04,2,0.2,1.213,2015-04-26,2015-05-02,Standard Class,US-2015-134026,Joel Eaton,Consumer,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Furnishings,Furniture,Memphis,Tennessee,South,"United States"
72.78,1,0.2,-18.196,2015-04-26,2015-05-02,Standard Class,US-2015-134026,Joel Eaton,Consumer,Safco Industrial Wire Shelving System,Storage,Office Supplies,Memphis,Tennessee,South,"United States"
1.25,3,0.8,-1.9344,2017-12-09,2017-12-11,First Class,US-2017-118038,Ken Brennan,Corporate,Economy Binders,Binders,Office Supplies,Houston,Texas,Central,"United States"
9.71,3,0.6,-5.8248,2017-12-09,2017-12-11,First Class,US-2017-118038,Ken Brennan,Corporate,"6"" Cubicle Wall Clock, Black",Furnishings,Furniture,Houston,Texas,Central,"United States"
27.24,3,0.2,2.724,2017-12-09,2017-12-11,First Class,US-2017-118038,Ken Brennan,Corporate,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Storage,Office Supplies,Houston,Texas,Central,"United States"
19.3,5,0.6,-14.475,2014-11-26,2014-12-01,Second Class,US-2014-147606,Joel Eaton,Consumer,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furnishings,Furniture,Houston,Texas,Central,"United States"
208.16,1,0.0,56.2032,2016-06-12,2016-06-15,First Class,CA-2016-127208,Stewart Carmichael,Corporate,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Appliances,Office Supplies,Decatur,Alabama,South,"United States"
16.74,3,0.0,8.0352,2016-06-12,2016-06-15,First Class,CA-2016-127208,Stewart Carmichael,Corporate,Avery Heavy-Duty EZD  Binder With Locking Rings,Binders,Office Supplies,Decatur,Alabama,South,"United States"
14.9,5,0.0,4.172,2014-10-12,2014-10-16,Standard Class,CA-2014-139451,Duane Noonan,Consumer,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Art,Office Supplies,San Francisco,California,West,"United States"
21.39,1,0.0,6.2031,2014-10-12,2014-10-16,Standard Class,CA-2014-139451,Duane Noonan,Consumer,"Sortfiler Multipurpose Personal File Organizer, Black",Storage,Office Supplies,San Francisco,California,West,"United States"
200.98,7,0.2,62.8075,2015-09-03,2015-09-08,Standard Class,CA-2015-149734,Julie Creighton,Corporate,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Envelopes,Office Supplies,Durham,North Carolina,South,"United States"
230.38,3,0.2,-48.9549,2017-11-13,2017-11-16,First Class,US-2017-119662,Christopher Schild,Home Office,Safco Industrial Wire Shelving,Storage,Office Supplies,Chicago,Illinois,Central,"United States"
301.96,2,0.0,33.2156,2017-05-28,2017-05-30,Second Class,CA-2017-140088,Patrick O'Donnell,Consumer,Novimex Swivel Fabric Task Chair,Chairs,Furniture,Columbia,South Carolina,South,"United States"
19.99,1,0.0,6.7966,2017-10-26,2017-11-02,Standard Class,CA-2017-155558,Paul Gonzalez,Consumer,Logitech-áLS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Accessories,Technology,Rochester,Minnesota,Central,"United States"
6.16,2,0.0,2.9568,2017-10-26,2017-11-02,Standard Class,CA-2017-155558,Paul Gonzalez,Consumer,Avery 511,Labels,Office Supplies,Rochester,Minnesota,Central,"United States"
158.37,7,0.2,13.8572,2016-04-05,2016-04-10,Second Class,CA-2016-159695,Gary Mitchum,Home Office,Eldon Portable Mobile Manager,Storage,Office Supplies,Houston,Texas,Central,"United States"
20.1,3,0.0,6.633,2016-09-17,2016-09-22,Standard Class,CA-2016-109806,Jim Sink,Corporate,Turquoise Lead Holder with Pocket Clip,Art,Office Supplies,Los Angeles,California,West,"United States"
73.58,2,0.2,8.2782,2016-09-17,2016-09-22,Standard Class,CA-2016-109806,Jim Sink,Corporate,Panasonic Kx-TS550,Phones,Technology,Los Angeles,California,West,"United States"
6.48,1,0.0,3.1104,2016-09-17,2016-09-22,Standard Class,CA-2016-109806,Jim Sink,Corporate,Xerox 1995,Paper,Office Supplies,Los Angeles,California,West,"United States"
12.96,2,0.0,6.2208,2015-01-31,2015-02-05,Second Class,CA-2015-149587,Karl Braun,Consumer,Xerox 1999,Paper,Office Supplies,Minneapolis,Minnesota,Central,"United States"
53.34,3,0.0,16.5354,2015-01-31,2015-02-05,Second Class,CA-2015-149587,Karl Braun,Consumer,"Seth Thomas 13 1/2"" Wall Clock",Furnishings,Furniture,Minneapolis,Minnesota,Central,"United States"
32.96,2,0.0,16.1504,2015-01-31,2015-02-05,Second Class,CA-2015-149587,Karl Braun,Consumer,Ibico Standard Transparent Covers,Binders,Office Supplies,Minneapolis,Minnesota,Central,"United States"
5.68,1,0.7,-3.788,2017-11-06,2017-11-12,Standard Class,US-2017-109484,Roger Barcio,Home Office,Flexible Leather- Look Classic Collection Ring Binder,Binders,Office Supplies,Portland,Oregon,West,"United States"
96.53,7,0.0,40.5426,2017-11-09,2017-11-11,Second Class,CA-2017-161018,Parhena Norris,Home Office,9-3/4 Diameter Round Wall Clock,Furnishings,Furniture,New York City,New York,East,"United States"
51.31,3,0.2,17.9592,2017-06-17,2017-06-20,First Class,CA-2017-157833,Katherine Ducich,Consumer,Trimflex Flexible Post Binders,Binders,Office Supplies,San Francisco,California,West,"United States"
77.88,6,0.0,22.5852,2016-09-06,2016-09-11,Standard Class,CA-2016-149223,Elpida Rittenbach,Corporate,Fellowes Basic Home/Office Series Surge Protectors,Appliances,Office Supplies,Saint Paul,Minnesota,Central,"United States"
64.62,7,0.2,22.6184,2016-08-29,2016-09-02,Standard Class,CA-2016-158568,Rick Bensley,Home Office,Avery Personal Creations Heavyweight Cards,Paper,Office Supplies,Chicago,Illinois,Central,"United States"
95.98,3,0.2,-10.7973,2016-08-29,2016-09-02,Standard Class,CA-2016-158568,Rick Bensley,Home Office,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Accessories,Technology,Chicago,Illinois,Central,"United States"
1.79,3,0.8,-3.0396,2016-08-29,2016-09-02,Standard Class,CA-2016-158568,Rick Bensley,Home Office,Avery Hidden Tab Dividers for Binding Systems,Binders,Office Supplies,Chicago,Illinois,Central,"United States"
23.92,4,0.0,11.7208,2016-12-01,2016-12-04,Second Class,CA-2016-129903,Gary Zandusky,Consumer,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Paper,Office Supplies,Rochester,Minnesota,Central,"United States"
238.9,6,0.2,-26.8758,2015-11-13,2015-11-17,Standard Class,US-2015-156867,Lena Cacioppo,Consumer,Logitech K350 2.4Ghz Wireless Keyboard,Accessories,Technology,Aurora,Colorado,West,"United States"
102.36,3,0.2,-3.8385,2015-11-13,2015-11-17,Standard Class,US-2015-156867,Lena Cacioppo,Consumer,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furnishings,Furniture,Aurora,Colorado,West,"United States"
36.88,3,0.7,-25.8174,2015-11-13,2015-11-17,Standard Class,US-2015-156867,Lena Cacioppo,Consumer,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Binders,Office Supplies,Aurora,Colorado,West,"United States"
74.11,8,0.2,17.6016,2017-11-23,2017-11-28,Standard Class,CA-2017-119004,Janet Martin,Consumer,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,Accessories,Technology,Charlotte,North Carolina,South,"United States"
27.99,1,0.2,2.0994,2017-11-23,2017-11-28,Standard Class,CA-2017-119004,Janet Martin,Consumer,Speck Products Candyshell Flip Case,Phones,Technology,Charlotte,North Carolina,South,"United States"
3.3,1,0.2,1.0738,2017-11-23,2017-11-28,Standard Class,CA-2017-119004,Janet Martin,Consumer,Newell Chalk Holder,Art,Office Supplies,Charlotte,North Carolina,South,"United States"
339.96,5,0.2,67.992,2015-10-15,2015-10-20,Standard Class,CA-2015-129476,Pete Armstrong,Home Office,Logitech-áGaming G510s - Keyboard,Accessories,Technology,Orland Park,Illinois,Central,"United States"
41.96,2,0.0,10.9096,2017-12-25,2017-12-30,Standard Class,CA-2017-146780,Cynthia Voltz,Corporate,Magnifier Swing Arm Lamp,Furnishings,Furniture,New York City,New York,East,"United States"
75.96,2,0.0,22.788,2016-11-03,2016-11-10,Standard Class,CA-2016-128867,Clay Ludtke,Consumer,"Hunt PowerHouse Electric Pencil Sharpener, Blue",Art,Office Supplies,Urbandale,Iowa,Central,"United States"
27.24,6,0.0,13.3476,2016-11-03,2016-11-10,Standard Class,CA-2016-128867,Clay Ludtke,Consumer,"Avery Durable Plastic 1"" Binders",Binders,Office Supplies,Urbandale,Iowa,Central,"United States"
40.1,14,0.2,14.5348,2014-08-25,2014-08-27,Second Class,CA-2014-115259,Ryan Crowe,Consumer,"OIC Colored Binder Clips, Assorted Sizes",Fasteners,Office Supplies,Columbus,Ohio,East,"United States"
4.72,2,0.2,1.652,2014-08-25,2014-08-27,Second Class,CA-2014-115259,Ryan Crowe,Consumer,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",Envelopes,Office Supplies,Columbus,Ohio,East,"United States"
23.98,3,0.2,7.4925,2014-08-25,2014-08-27,Second Class,CA-2014-115259,Ryan Crowe,Consumer,Xerox 1921,Paper,Office Supplies,Columbus,Ohio,East,"United States"
130.46,6,0.2,44.0316,2014-08-25,2014-08-27,Second Class,CA-2014-115259,Ryan Crowe,Consumer,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Envelopes,Office Supplies,Columbus,Ohio,East,"United States"
787.53,3,0.0,165.3813,2015-03-02,2015-03-06,Standard Class,CA-2015-110457,Dave Kipp,Consumer,Hon Racetrack Conference Tables,Tables,Furniture,Seattle,Washington,West,"United States"
157.79,1,0.7,-115.7156,2015-04-05,2015-04-10,Standard Class,US-2015-136476,Greg Guthrie,Corporate,GBC DocuBind 300 Electric Binding Machine,Binders,Office Supplies,Bristol,Tennessee,South,"United States"
47.04,3,0.0,18.3456,2016-06-12,2016-06-15,First Class,CA-2016-103730,Steven Cartwright,Consumer,Artistic Insta-Plaque,Furnishings,Furniture,Wilmington,Delaware,East,"United States"
30.84,4,0.0,13.878,2016-06-12,2016-06-15,First Class,CA-2016-103730,Steven Cartwright,Consumer,DXL Angle-View Binders with Locking Rings by Samsill,Binders,Office Supplies,Wilmington,Delaware,East,"United States"
226.56,6,0.0,63.4368,2016-06-12,2016-06-15,First Class,CA-2016-103730,Steven Cartwright,Consumer,"Companion Letter/Legal File, Black",Storage,Office Supplies,Wilmington,Delaware,East,"United States"
115.02,9,0.0,51.759,2016-06-12,2016-06-15,First Class,CA-2016-103730,Steven Cartwright,Consumer,Globe Weis Peel & Seel First Class Envelopes,Envelopes,Office Supplies,Wilmington,Delaware,East,"United States"
68.04,7,0.0,19.7316,2016-06-12,2016-06-15,First Class,CA-2016-103730,Steven Cartwright,Consumer,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,Phones,Technology,Wilmington,Delaware,East,"United States"
600.56,3,0.3,-8.5794,2014-12-26,2014-12-28,Second Class,US-2014-152030,Alan Dominguez,Home Office,Global Deluxe High-Back Manager's Chair,Chairs,Furniture,Houston,Texas,Central,"United States"
617.7,6,0.5,-407.682,2014-09-20,2014-09-25,Standard Class,US-2014-134614,Philip Fox,Consumer,Bevis 44 x 96 Conference Tables,Tables,Furniture,Bloomington,Illinois,Central,"United States"
2.39,2,0.7,-1.8308,2017-11-05,2017-11-12,Standard Class,US-2017-107272,Troy Staebel,Consumer,"Avery Durable Slant Ring Binders, No Labels",Binders,Office Supplies,Phoenix,Arizona,West,"United States"
243.99,7,0.2,30.499,2017-11-05,2017-11-12,Standard Class,US-2017-107272,Troy Staebel,Consumer,"Trav-L-File Heavy-Duty Shuttle II, Black",Storage,Office Supplies,Phoenix,Arizona,West,"United States"
